,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Deutschland,Deutschland,LOC,-0.59322034,0.08474576,de,11.80000000,,2921044.00000000,A,51.50000000,10.50000000,EUROPE,Deutschland,WCE
Verkehrswende,Verkehrswende,LOC,-0.47297297,0.13513514,de,3.70000000,,0.00000000,,,,,,
Hamburg,Hamburg,LOC,0.00000000,0.00000000,de,3.70000000,4239189-1,-1.00000000,,,,EUROPE,Germany,NEU
Diesel,Diesel,LOC,0.00000000,0.00000000,de,3.70000000,,-1.00000000,,,,CENTRAL-AMERICA,Mexico,NCA
Rhein,Rhein,LOC,0.09459459,0.67567568,de,3.70000000,,12077024.00000000,L,49.31885000,8.77012000,EUROPE,Deutschland,WCE
Niedersachsen,Niedersachsen,LOC,-0.25000000,0.00000000,de,2.80000000,,2862926.00000000,A,52.83333000,9.16667000,EUROPE,Deutschland,WCE
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.36842105,0.00000000,de,1.90000000,4051181-9,-1.00000000,,,,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,0.36842105,0.00000000,de,1.90000000,,2945356.00000000,A,52.45905000,13.01582000,EUROPE,Deutschland,WCE
Österreich,Österreich,LOC,0.52631579,0.00000000,de,1.90000000,,2782113.00000000,A,47.33333000,13.33333000,EUROPE,Österreich,WCE
Banaszak,Banaszak,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Kaub,Kaub,LOC,0.00000000,1.05263158,de,1.90000000,4194073-8,-1.00000000,,,,ASIA,,SEA
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.00000000,0.00000000,de,1.90000000,,2872567.00000000,A,53.83333000,12.50000000,EUROPE,Deutschland,WCE
Bayern,Bayern,LOC,0.00000000,0.00000000,de,1.90000000,,2951839.00000000,A,49.00000000,11.50000000,EUROPE,Deutschland,WCE
Münchens,Münchens,LOC,-0.36842105,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE,Germany,WCE
Halle,Halle,LOC,0.00000000,0.52631579,de,1.90000000,4023027-2,-1.00000000,,,,EUROPE,Germany,WCE
Baden-Württemberg,Baden-Württemberg,LOC,0.00000000,0.00000000,de,1.90000000,,2953481.00000000,A,48.50000000,9.00000000,EUROPE,Deutschland,WCE
Flüssen,Flüssen,LOC,-0.09210526,0.26315789,de,1.90000000,,2926035.00000000,P,48.21861000,10.27462000,EUROPE,Deutschland,WCE
Wasserstraßen,Wasserstraßen,LOC,-0.70000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,WCE
Verkehrsministerium,Verkehrsministerium,LOC,1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
U-Bahnen,U-Bahnen,LOC,-0.35000000,0.50000000,de,1.00000000,,0.00000000,,,,,,
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,0.00000000,0.00000000,de,1.00000000,4042570-8,-1.00000000,,,,EUROPE,Germany,WCE
Deutschlands,Deutschlands,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,WCE
Auto-Experte,Auto-Experte,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Wiesn-Aufbau,Wiesn-Aufbau,LOC,-0.35000000,0.50000000,de,1.00000000,,0.00000000,,,,,,
Stand-up-Paddling,Stand-up-Paddling,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Brandenburgs,Brandenburgs,LOC,1.00000000,0.00000000,de,1.00000000,,8181624.00000000,S,52.36213000,13.50168000,EUROPE,Deutschland,WCE
Norditalien,Norditalien,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Rollberg,Rollberg,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,WCE
Hause,Hause,LOC,0.70000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Norway,NEU
Stau,Stau,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Belarus,WCE
Kostendruck,Kostendruck,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
MÜNCHEN,MÜNCHEN,LOC,0.00000000,0.00000000,de,1.00000000,4245720-8,-1.00000000,,,,EUROPE,Germany,WCE
Donau,Donau,LOC,1.00000000,0.00000000,de,1.00000000,,2866070.00000000,P,48.73218000,11.18709000,EUROPE,Deutschland,WCE
Lkw-Fahrverbot,Lkw-Fahrverbot,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Frankfurt,Frankfurt,LOC,0.00000000,0.00000000,de,1.00000000,4018118-2,-1.00000000,,,,EUROPE,Germany,WCE
Frühstart,Frühstart,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Rhein-Main-Gebiet,Rhein-Main-Gebiet,LOC,-0.17500000,0.50000000,de,1.00000000,4049799-9,-1.00000000,,,,EUROPE,Germany,WCE
