,Verkehrswende,Klimawandel,Landwirtschaft,Waermewende,Energiewende,Gesundheit,Wasserversorgung,Industrie,Klimaextreme,Urbane_Hitzeinsel,Geo_Engineering,Tipping_Points,Oekologie,Invalid
2026-07-26,1.8,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-07-28,0.0,0.9,0,0.0,0,0,0.9,0,0,0,0,0,0,0
2026-07-29,0.9,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-03,2.7,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-04,2.7,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-05,3.6,0.9,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-06,11.700000000000003,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-07,1.8,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-08,1.8,0.9,0,0.9,0,0,0.9,0,0,0,0,0,0,0
2026-08-09,0.9,0.9,0,0.0,0,0,0.9,0,0,0,0,0,0,0
2026-08-10,5.4,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-11,12.600000000000003,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-12,3.6,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-13,2.7,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-14,6.300000000000001,1.8,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-15,4.5,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-16,3.6,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-17,2.7,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-18,1.8,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-19,3.6,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-20,5.4,0.0,0,1.8,0,0,0.0,0,0,0,0,0,0,0
2026-08-21,3.6,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-22,3.6,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-24,0.9,0.0,0,0.9,0,0,0.0,0,0,0,0,0,0,0
2026-08-26,0.9,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-28,0.9,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-29,1.8,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-08-31,3.6,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-09-01,2.7,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2026-09-03,0.9,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
