,summary,Verkehrswende,Klimawandel,Landwirtschaft,Waermewende,Energiewende,Gesundheit,Wasserversorgung,Industrie,Klimaextreme,Urbane_Hitzeinsel,Geo_Engineering,Tipping_Points,Oekologie,word
summaryOfAllWords,10906.717876131986,4795.327207328223,817.2879824630824,555.2341565567622,652.1841838787302,0.0,689.7167593109799,557.6031917819922,758.9846435016121,555.2341565567622,445.1444977220346,524.766940476321,0.0,555.2341565567622,
Verkehrswende,32.2769506196597,0.7594146594769567,-2.4273345837362514,-2.387306582026479,-2.3622105065070578,0.0,-2.4160449866509337,-2.387518750102328,-2.4357584446188034,-2.387306582026479,-2.3690481510447574,-1.2425212346617707,0.0,-2.387306582026479,Verkehrswende
Das,21.80081084179294,0.36519679323724713,-0.2976254641940803,-0.38208971381508305,-0.3480756729113126,0.0,-0.5858471160279672,-0.3861100886721986,-0.6748396871695717,-0.38208971381508305,-0.4243587945364374,-0.39681259669192154,0.0,-0.38208971381508305,Das
verkehr+s+wende der,4.849071373089737,0.34656876953761634,-0.5317684285007822,-0.4917404267910101,-0.4666443512715885,0.0,-0.5204788314154646,-0.4919525948668588,-0.5401922893833344,-0.4917404267910101,-0.47348199580928824,0.35311993557299165,0.0,-0.4917404267910101,verkehr+s+wende der
Münchens,5.804699255686654,0.3671564704655508,-0.7116490173519097,-0.6716210156421377,-0.6465249401227161,0.0,-0.7003594202665921,-0.6718331837179863,-0.720072878234462,-0.6716210156421377,-0.6533625846604159,0.7950156233893841,0.0,-0.6716210156421377,Münchens
der münchen+s,4.534003350044883,0.3014251218953106,-0.46458650230693793,-0.42455850059716577,-0.39946242507774415,0.0,-0.4532969052216201,-0.4247706686730144,-0.4730103631894899,-0.42455850059716577,-0.4063000696154439,0.4360516072103735,0.0,-0.42455850059716577,der münchen+s
größte,5.222492249360475,0.24945017602499353,-0.6059559417114502,-0.565927940001678,-0.5408318644822564,0.0,-0.5946663446261325,-0.5661401080775267,0.545867408958711,-0.565927940001678,-0.5476695090199561,0.31170745857400045,0.0,-0.565927940001678,größte
münchen+s groß,4.345495543952452,0.26905451799116264,-0.422121012805348,-0.38209301109557564,-0.3569969355761541,0.0,-0.41083141572003035,-0.38230517917142454,-0.4305448736879001,-0.38209301109557564,-0.36383458011385394,0.4955423874801029,0.0,-0.38209301109557564,münchen+s groß
Baustellen,4.243687025075793,0.24913710455134475,-0.3984136841128571,-0.35838568240308505,-0.33328960688366344,0.0,-0.3871240870275396,-0.35859785047893367,-0.4068375449954093,-0.35838568240308505,-0.3401272514213632,0.5335028856605049,0.0,-0.35838568240308505,Baustellen
groß bau+stelle+n,4.243687025075793,0.24913710455134475,-0.3984136841128571,-0.35838568240308505,-0.33328960688366344,0.0,-0.3871240870275396,-0.35859785047893367,-0.4068375449954093,-0.35838568240308505,-0.3401272514213632,0.5335028856605049,0.0,-0.35838568240308505,groß bau+stelle+n
Weniger,4.130429280482427,0.22392432545455612,-0.3713625549268181,-0.33133455321704575,-0.3062384776976242,0.0,-0.3600729578415004,-0.33154672129289453,-0.3797864158093702,-0.33133455321704575,-0.31307612223532405,0.5850497442974981,0.0,-0.33133455321704575,Weniger
bau+stelle+n wenig+er,4.130429280482427,0.22392432545455612,-0.3713625549268181,-0.33133455321704575,-0.3062384776976242,0.0,-0.3600729578415004,-0.33154672129289453,-0.3797864158093702,-0.33133455321704575,-0.31307612223532405,0.5850497442974981,0.0,-0.33133455321704575,bau+stelle+n wenig+er
Autos,5.084837672218386,0.3329691649378547,-0.5792443174734458,-0.5392163157636738,-0.5141202402442522,0.0,-0.5679547203881282,-0.5394284838395224,-0.5876681783559982,-0.5392163157636738,-0.5209578847819519,0.640031011221826,0.0,-0.5392163157636738,Autos
