keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Niedrigwasser',de,Verkehrswende,#8888ff,#8888ff,3,0.7060113095454544
'Elektromobilität',de,Verkehrswende,#8888ff,#8888ff,2,0.6521212669354838
'Tempolimit',de,Verkehrswende,#8888ff,#8888ff,2,0.5955061437096774
'öffentlicher Nahverkehr',de,Verkehrswende,#8888ff,#8888ff,1,0.5865002999999999
'Spritpreise',de,Verkehrswende,#8888ff,#8888ff,3,0.5687404994999999
'Radwege Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,1,0.507864037025
'e-Fuels',de,Verkehrswende,#8888ff,#8888ff,1,0.5066673834642856
'LKW Klimawandel',de,Verkehrswende,#8888ff,#8888ff,1,0.5019716191093826
'Urbane Hitzeinsel',de,Urbane_Hitzeinsel,#ff00ff,#ff00ff,1,0.4997725973457896
'Geo Engineering',de,Geo_Engineering,#00ffff,#00ffff,1,0.4991943496998292
'Dienstwagenprivileg',de,Verkehrswende,#8888ff,#8888ff,1,0.4990800554999999
'Blowups Autobahn',de,Verkehrswende,#8888ff,#8888ff,1,0.4985249999999999
'Fahrverbote',de,Verkehrswende,#8888ff,#8888ff,2,0.4876944747943547
'Ökologie Klimawandel',de,Oekologie,#88ffff,#88ffff,1,0.4681003597716329
'Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,2,0.465657220015033
'Pendlerpauschale',de,Verkehrswende,#8888ff,#8888ff,1,0.4585742315249999
'Klimakipppunkt',de,Tipping_Points,#ffff88,#ffff88,1,0.4424595876291263
'Deutschlandticket',de,Verkehrswende,#8888ff,#8888ff,3,0.4379393124988635
'Mobilität Klimawandel',de,Verkehrswende,#8888ff,#8888ff,1,0.4367160562528845
'eFuels',de,Verkehrswende,#8888ff,#8888ff,1,0.4248207324374999
'Kreuzschiffe Klima',de,Verkehrswende,#8888ff,#8888ff,1,0.4237462499999999
'Kerosinsteuer',de,Verkehrswende,#8888ff,#8888ff,1,0.4237462499999999
'Flugverkehr Klimawandel',de,Verkehrswende,#8888ff,#8888ff,1,0.4182268121750001
'Bahnverkehr Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,1,0.41809931784875
'Frachtverkehr Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,1,0.417605
'e-Auto Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,1,0.393275113404125
'autofreie Stadt',de,Verkehrswende,#8888ff,#8888ff,1,0.3620610939093749
'hocheffizenter Verbrenner',de,Verkehrswende,#8888ff,#8888ff,1,0.3061566656249999
'Landwirtschaft Klimawandel',de,Landwirtschaft,#00ff00,#00ff00,3,0.2359644535828061
'Klimawandel',de,Klimawandel,#ff0000,#ff0000,3,0.21468585491052
'Wärmewende',de,Waermewende,#ffff00,#ffff00,2,0.2144543391316996
'Gesundheit Klimawandel',de,Gesundheit,#ff8888,#ff8888,3,0.2110317039059913
'Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.2056923524584981
'Wasserversorgung Klimawandel',de,Wasserversorgung,#ffffff,#ffffff,1,0.1678910914378105
'Industrie Klimawandel',de,Industrie,#000000,#000000,2,0.15978475570482414
'Klimaextreme Klimawandel',de,Klimaextreme,#0000ff,#0000ff,1,0.1550193343619651
